ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
LU1230136894,31/10/2015,GBP,3.6990
LU1230136894,31/10/2016,GBP,2.4898
LU1230136894,31/10/2017,GBP,1.4342
LU1230136894,31/10/2018,GBP,4.3959
LU1230136894,31/10/2019,GBP,6.5820
LU1230136894,31/10/2020,GBP,2.3578
LU1230136894,31/10/2021,GBP,0.0000
LU1230136894,31/10/2022,GBP,0.0000
LU1230136894,31/10/2023,GBP,34.5541
LU1230136894,31/10/2024,GBP,60.7270
LU1230136894,07/03/2025,GBP,25.0609
LU1230136894,30/09/2025,GBP,32.5745
