ISIN,Fund Reporting Period End Date,Currency,Excess of reporting income over distribution
IE00BMYDMD58,19/05/2023,EUR,0.00000
IE00BHBFDF83,30/06/2023,USD,0.19800
IE00B4QNHH68,30/06/2023,EUR,14.80240
IE00B4QNHZ41,30/06/2023,EUR,0.07360
IE00B4WPHX27,30/06/2023,USD,1.76520
IE00B4QNJJ23,30/06/2023,GBP,20.50370
IE00B4QNK008,30/06/2023,GBP,0.23320
IE00B3CNHJ55,30/06/2023,USD,1.05680
IE00B3CNHG25,30/06/2023,USD,0.48660
IE00BHZKHS06,30/06/2023,USD,0.23970
IE00BMW3QX54,30/06/2023,USD,0.02510
IE00BYPLS672,30/06/2023,USD,0.00000
IE00BF0BCP69,30/06/2023,USD,1.08890
IE00BF0M2Z96,30/06/2023,USD,0.35130
IE00BF0H7608,30/06/2023,USD,0.04040
IE00BF0M6N54,30/06/2023,USD,0.23640
IE00BFXR5Q31,30/06/2023,USD,0.21490
IE00BFXR5R48,30/06/2023,GBP,0.46570
IE00BFXR5T61,30/06/2023,USD,0.22780
IE00BFXR5S54,30/06/2023,USD,0.25800
IE00BFXR5V83,30/06/2023,EUR,0.38280
IE00BFXR5W90,30/06/2023,USD,0.50870
IE00BK5BC891,30/06/2023,USD,0.16890
IE00BK5BCD43,30/06/2023,USD,0.00000
IE00BK5BC677,30/06/2023,USD,0.00000
IE00BKLTRN76,30/06/2023,EUR,0.29090
IE00BKLWY790,30/06/2023,USD,0.15830
IE00BK5BCH80,30/06/2023,USD,0.11400
IE00BLRPQN90,30/06/2023,GBP,0.00460
IE00BLRPQM83,30/06/2023,GBP,0.00000
IE00BLRPQP15,30/06/2023,USD,0.08640
IE00BLRPQL76,30/06/2023,USD,0.00430
IE000F472DU7,30/06/2023,USD,0.00000
IE00BLRPQK69,30/06/2023,GBP,0.02670
IE00BLRPRD67,30/06/2023,USD,0.01830
IE00BLRPRF81,30/06/2023,USD,0.00000
IE00BLCGR455,30/06/2023,USD,0.42710
IE000ZO4CUT7,30/06/2023,USD,0.42330
IE0007EH5UK6,30/06/2023,USD,0.42640
IE000YPT5PG3,30/06/2023,USD,0.07550
IE00BMYDM794,30/06/2023,USD,0.04440
IE00BMYDM802,30/06/2023,GBP,0.00000
IE00BMYDM919,30/06/2023,EUR,0.00820
IE00BMYDMB35,30/06/2023,USD,0.03430
IE00BF92J153,30/06/2023,USD,0.00000
IE00BFXR6159,30/06/2023,USD,1.16270
IE00011CA799,30/06/2023,USD,0.01400
IE00BMYDMC42,30/06/2023,USD,0.01610
IE00BL6K6H97,30/06/2023,USD,0.00000
IE000QNJAOX1,30/06/2023,USD,0.06530
IE000VTOHNZ0,30/06/2023,USD,0.06410
IE0004U3TX15,30/06/2023,USD,0.05500
